label_top,label_side,lenght,breadth,height,side_x,cuboid_volume,actual_volume,weight
bun001T(1),bun001S(1),100.301,82.883,61.198,78.261,508.7541378,210,80.4
bun001T(2),bun001S(2),90.385,78.571,65.487,70.43,465.0650879,210,80.4
bun001T(3),bun001S(3),76.075,102.193,62.621,82.267,486.8364739,210,80.4
bun001T(4),bun001S(4),88.636,80.963,64.474,72.253,462.68067,210,80.4
bun001T(5),bun001S(5),80.592,84.048,57.25,92.333,387.7883948,210,80.4
bun001T(6),bun001S(6),93.902,69.907,58.333,86.567,382.9215602,210,80.4
bun001T(7),bun001S(7),82.237,97.25,58.168,88.542,465.2013866,210,80.4
bun002T(1),bun002S(1),104.276,84.694,53.704,76.989,474.2896441,230,93.6
bun002T(2),bun002S(2),80.747,103.44,57.619,80.814,481.2609505,230,93.6
bun002T(3),bun002S(3),89.655,78.095,49.537,93.976,346.8386171,230,93.6
bun002T(4),bun002S(4),88.793,85.194,55.583,80.233,420.4648761,230,93.6
bun002T(5),bun002S(5),82.099,99.057,54.082,90.407,439.8208181,230,93.6
bun003T(1),bun003S(1),77.874,109.685,62.398,96.649,532.9793614,270,93.2
bun003T(2),bun003S(2),101.453,90.367,80.5,107.317,738.0242617,270,93.2
bun003T(3),bun003S(3),76.685,107.456,65.126,104.348,536.6553916,270,93.2
bun003T(4),bun003S(4),110.312,91.832,61.694,150.472,624.9708057,270,93.2
bun004T(1),bun004S(1),108.841,76.651,63.866,76.099,532.819444,270,83.9
bun004T(2),bun004S(2),103.947,71.094,49.237,65.741,363.8618248,270,83.9
bun004T(3),bun004S(3),77.469,109.466,51.408,100.234,435.9512296,270,83.9
bun004T(4),bun004S(4),107.394,76.989,54.25,110.855,448.5474991,270,83.9
bun004T(5),bun004S(5),101.689,71.053,66.593,85.632,481.1549701,270,83.9
bun004T(6),bun004S(6),68.895,105.531,66.204,102.66,481.3400381,270,83.9
bun004T(7),bun004S(7),111.218,74.764,64.912,81.593,539.7499369,270,83.9
bun004T(8),bun004S(8),75.272,111.975,54.878,96.212,462.543734,270,83.9
bun004T(1),bun004S(1),108.841,76.651,63.866,76.099,532.819444,270,83.9
bun004T(2),bun004S(2),103.947,71.094,49.237,65.741,363.8618248,270,83.9
bun004T(3),bun004S(3),77.469,109.466,51.408,100.234,435.9512296,270,83.9
bun004T(4),bun004S(4),107.394,76.989,54.25,110.855,448.5474991,270,83.9
bun004T(5),bun004S(5),101.689,71.053,66.593,85.632,481.1549701,270,83.9
bun004T(6),bun004S(6),68.895,105.531,66.204,102.66,481.3400381,270,83.9
bun004T(7),bun004S(7),111.218,74.764,64.912,81.593,539.7499369,270,83.9
bun004T(8),bun004S(8),75.272,111.975,54.878,96.212,462.543734,270,83.9
bun005T(1),bun005S(1),79.688,87.143,69.595,86.494,483.2851751,210,69.1
bun005T(2),bun005S(2),80.97,89.444,66.164,91.477,479.1782589,210,69.1
bun005T(3),bun005S(3),81.169,75.25,71.396,76.099,436.0844298,210,69.1
bun005T(4),bun005S(4),77.113,96.839,63.377,83.523,473.2706506,210,69.1
bun005T(5),bun005S(5),98.077,80.825,67.105,82.609,531.9462689,210,69.1
bun006T(1),bun006S(1),113.806,87.097,54.331,73.077,538.5376292,260,78.3
bun006T(2),bun006S(2),85.671,110.25,50.992,92.172,481.6310534,260,78.3
bun006T(3),bun006S(3),103.75,86.408,56.144,84.615,503.3214155,260,78.3
bun006T(4),bun006S(4),93.214,106.25,54.752,90.049,542.2631236,260,78.3
bun006T(5),bun006S(5),107.971,97.222,57.364,92.784,602.158889,260,78.3
bun006T(6),bun006S(6),87.687,108.871,57.258,100,546.6175839,260,78.3
bun006T(7),bun006S(7),102.174,83.871,62.397,87.879,534.7070703,260,78.3
bun006T(8),bun006S(8),94.097,110.526,60.366,96.25,627.8163617,260,78.3
bun007T(1),bun007S(1),102.632,91.927,51.179,96.341,482.8560477,260,84.4
bun007T(2),bun007S(2),92.763,120.69,49.558,98.034,554.8298831,260,84.4
bun007T(3),bun007S(3),104.487,100.538,52.252,92.529,548.9027666,260,84.4
bun007T(4),bun007S(4),93.919,106.378,49.762,110.756,497.1679312,260,84.4
bun008T(1),bun008S(1),92.628,69.355,49.048,62.216,315.0948944,200,69.5
bun008T(2),bun008S(2),74.383,98.349,49.292,96.646,360.5953138,200,69.5
bun008T(3),bun008S(3),96.687,76.75,46.56,69.767,345.5090608,200,69.5
bun008T(4),bun008S(4),68.561,92.353,47.573,90.909,301.223389,200,69.5
