label_top,label_side,lenght,breadth,height,side_x,cuboid_volume,actual_volume,weight
fired_dough_twist001T(1),fired_dough_twist001S(1),43.919,113.281,42.982,98.138,213.8435409,60,37.8
fired_dough_twist001T(2),fired_dough_twist001S(2),42.697,108.836,40.57,99.438,188.527601,60,37.8
fired_dough_twist001T(3),fired_dough_twist001S(3),48.052,103.96,39.44,99.719,197.0219647,60,37.8
fired_dough_twist001T(4),fired_dough_twist001S(4),51.136,106.183,39.381,97.554,213.8299255,60,37.8
fired_dough_twist001T(5),fired_dough_twist001S(5),40.663,103.81,40.132,90.365,169.406243,60,37.8
fired_dough_twist001T(6),fired_dough_twist001S(6),37.013,102.551,41.595,105.056,157.8829802,60,37.8
fired_dough_twist001T(7),fired_dough_twist001S(7),42.284,100.45,39.076,94.837,165.9724887,60,37.8
fired_dough_twist001T(8),fired_dough_twist001S(8),48.611,103.061,42.647,100,213.6571316,60,37.8
fired_dough_twist001T(9),fired_dough_twist001S(9),43.75,102.723,39.693,93.28,178.3855517,60,37.8
fired_dough_twist002T(1),fired_dough_twist002S(1),55.556,95.991,44.538,91.223,237.5156311,70,45.9
fired_dough_twist002T(10),fired_dough_twist002S(10),45.052,93.293,41.942,89.607,176.2837458,70,45.9
fired_dough_twist002T(2),fired_dough_twist002S(2),43.605,90.509,43.008,83.333,169.7373058,70,45.9
fired_dough_twist002T(3),fired_dough_twist002S(3),50,93.069,42.161,89.286,196.1941055,70,45.9
fired_dough_twist002T(4),fired_dough_twist002S(4),45.062,95.991,41.81,81.117,180.8510967,70,45.9
fired_dough_twist002T(5),fired_dough_twist002S(5),53.618,97.194,39.516,86.685,205.9316233,70,45.9
fired_dough_twist002T(6),fired_dough_twist002S(6),43.092,91.582,41.87,81.701,165.2379261,70,45.9
fired_dough_twist002T(7),fired_dough_twist002S(7),49.026,97.135,46.903,87.903,223.3586763,70,45.9
fired_dough_twist002T(8),fired_dough_twist002S(8),47.297,92.327,45.975,90.104,200.7631757,70,45.9
fired_dough_twist002T(9),fired_dough_twist002S(9),45.896,92.529,40.496,91.223,171.974808,70,45.9
fired_dough_twist003T(1),fired_dough_twist003S(1),39.803,98.75,38.492,95.5,151.2945863,80,41.7
fired_dough_twist003T(10),fired_dough_twist003S(10),41.761,109.259,35.484,88.66,161.9051568,80,41.7
fired_dough_twist003T(2),fired_dough_twist003S(2),47.753,100.394,31.977,86.165,153.3014052,80,41.7
fired_dough_twist003T(3),fired_dough_twist003S(3),49.359,104.398,31.151,87.755,160.5205075,80,41.7
fired_dough_twist003T(4),fired_dough_twist003S(4),40.698,102.703,31.107,89.216,130.0212468,80,41.7
fired_dough_twist003T(5),fired_dough_twist003S(5),41.875,101.19,33.858,91.071,143.4675615,80,41.7
fired_dough_twist003T(6),fired_dough_twist003S(6),40.517,103.448,36.492,95.619,152.9526643,80,41.7
fired_dough_twist003T(7),fired_dough_twist003S(7),43.929,105.99,33.943,88.25,158.0397862,80,41.7
fired_dough_twist003T(8),fired_dough_twist003S(8),46.037,105.189,38.306,97.527,185.500099,80,41.7
fired_dough_twist003T(9),fired_dough_twist003S(9),41.576,111.975,34.055,94.643,158.5421194,80,41.7
