label_top,label_side,lenght,breadth,height,side_x,cuboid_volume,actual_volume,weight
grape001T(1),grape001S(1),181.452,173.476,108.252,161.111,3407.509599,450,448
grape001T(10),grape001S(10),184.483,182.317,111.697,185.366,3756.860137,450,448
grape001T(11),grape001S(11),207.203,165.361,114.356,157.716,3918.213395,450,448
grape001T(12),grape001S(12),181.034,193.438,98.81,167.378,3460.213052,450,448
grape001T(2),grape001S(2),186.972,169.271,99.764,154.023,3157.424592,450,448
grape001T(3),grape001S(3),181.855,188.793,91.435,166.987,3139.233376,450,448
grape001T(4),grape001S(4),186.071,157.75,109.466,174.383,3213.122686,450,448
grape001T(5),grape001S(5),183.099,178.713,98.058,169.156,3208.670701,450,448
grape001T(6),grape001S(6),173.214,147.159,105.714,140.244,2694.649757,450,448
grape001T(7),grape001S(7),146.071,190.517,107.381,175,2988.306784,450,448
grape001T(8),grape001S(8),183.846,154.706,94.907,158.133,2699.352418,450,448
grape001T(9),grape001S(9),161.441,167.353,102.427,188.125,2767.335369,450,448
grape002T(1),grape002S(1),129.924,121.667,74.25,115,1173.704151,240,219.5
grape002T(10),grape002S(10),117.143,116.848,66.19,117.188,906.0037732,240,219.5
grape002T(11),grape002S(11),111.667,113.35,68.16,107.716,862.7320953,240,219.5
grape002T(12),grape002S(12),115.132,129.032,72.406,109.036,1075.642699,240,219.5
grape002T(13),grape002S(13),114.803,126.667,68.018,129.63,989.1008604,240,219.5
grape002T(14),grape002S(14),133.013,121.789,65,120.513,1052.968817,240,219.5
grape002T(15),grape002S(15),124.333,131.25,73.158,114.935,1193.843912,240,219.5
grape002T(16),grape002S(16),124.375,123.058,71.359,98.78,1092.173668,240,219.5
grape002T(17),grape002S(17),123.684,118.204,67.381,118.072,985.1064154,240,219.5
grape002T(2),grape002S(2),133.333,112.143,77.344,109.615,1156.475534,240,219.5
grape002T(3),grape002S(3),124.638,140.885,79.592,119.551,1397.605644,240,219.5
grape002T(4),grape002S(4),138.028,118.207,76.214,101.603,1243.498158,240,219.5
grape002T(5),grape002S(5),113.929,133.421,71.19,134.295,1082.125098,240,219.5
grape002T(6),grape002S(6),119.805,118.204,66.905,114.506,947.4704889,240,219.5
grape002T(7),grape002S(7),112.333,115.347,69,104.878,894.051944,240,219.5
grape002T(8),grape002S(8),129.577,126.882,71.359,103.438,1173.212528,240,219.5
grape002T(9),grape002S(9),132.09,129.076,77.865,117.941,1327.570907,240,219.5
