labels,x,y
banana001S(1),159.231,40.909
banana001S(2),185.075,40.882
banana001S(3),167.361,40.761
banana001T(1),150.704,63.043
banana001T(2),157.5,89.0
banana001T(3),165.357,65.0
banana001T(4),149.627,86.782
banana002S(1),82.143,46.719
banana002S(2),89.286,38.804
banana002S(3),74.405,42.208
banana002T(1),165.441,129.924
banana002T(2),171.429,103.024
banana002T(3),170.69,97.533
banana003S(1),128.922,35.496
banana003S(2),162.838,36.492
banana003S(3),119.363,34.055
banana003T(1),73.311,135.922
banana003T(2),61.321,154.861
banana004S(1),72.727,46.533
banana004S(2),124.597,43.994
banana004S(3),90.476,48.936
banana004T(1),170.679,109.685
banana004T(2),134.659,163.816
banana004T(3),196.91,87.284
banana005S(1),157.031,27.579
banana005S(2),158.495,34.722
banana005S(3),88.983,36.29
banana005T(1),112.346,184.906
banana005T(2),110.473,174.306
banana005T(3),187.5,89.619
banana006S(1),90.16,30.242
banana006S(2),81.818,36.009
banana006S(3),155.172,33.266
banana006T(1),174.148,113.843
banana006T(2),144.293,92.361
banana006T(3),98.358,153.5
banana007S(1),98.78,41.667
banana007S(2),144.118,32.569
banana007S(3),139.198,36.667
banana007T(1),143.902,101.98
banana007T(2),90.504,152.296
banana007T(3),90.691,150.775
banana008S(1),163.587,34.052
banana008S(2),160.366,38.938
banana008S(3),119.231,35.294
banana008S(4),166.927,38.953
banana008S(5),152.041,39.113
banana008T(1),77.419,192.035
banana008T(2),178.804,86.765
banana008T(3),176.282,77.427
banana008T(4),81.875,173.148
banana008T(5),77.5,179.208
banana009S(1),174.713,34.722
banana009S(2),206.176,30.462
banana009S(3),173.864,38.793
banana009S(4),205.0,30.825
banana009S(5),176.471,40.094
banana009S(6),192.5,41.274
banana009S(7),186.022,35.746
banana009S(8),174.679,39.541
banana009T(1),95.779,184.862
banana009T(2),72.887,189.674
banana009T(3),87.676,228.161
banana009T(4),104.688,206.034
banana009T(5),94.643,230.556
banana009T(6),115.0,194.737
banana009T(7),103.986,184.946
banana009T(8),79.861,180.102
banana010S(1),145.0,33.73
banana010S(2),187.013,33.559
banana010S(3),151.22,34.491
banana010S(4),150.0,39.623
banana010S(5),183.951,29.861
banana010S(6),168.956,33.871
banana010S(7),144.792,39.463
banana010S(8),157.692,42.161
banana010T(1),77.922,170.25
banana010T(2),86.513,160.194
banana010T(3),88.462,165.238
banana010T(4),82.308,177.744
banana010T(5),82.197,189.13
banana010T(6),92.434,163.107
banana010T(7),92.23,178.061
banana010T(8),102.188,168.095
banana011S(1),128.409,33.491
banana011S(2),140.625,32.895
banana011S(3),124.432,33.565
banana011S(4),138.554,34.174
banana011S(5),145.93,34.028
banana011S(6),65.663,31.132
banana011S(7),136.176,39.286
banana011S(8),151.163,34.862
banana011S(9),141.573,33.565
banana011T(1),71.988,147.642
banana011T(2),75.0,146.25
banana011T(3),74.0,145.545
banana011T(4),74.695,145.991
banana011T(5),75.347,155.978
banana011T(6),146.795,72.959
banana011T(7),70.679,151.316
banana011T(8),72.059,143.056
banana011T(9),72.554,147.198
banana012S(1),133.442,30.75
banana012S(2),128.571,31.378
banana012S(3),137.171,29.95
banana012S(4),132.372,30.25
banana012S(5),131.081,30.867
banana012S(6),133.013,31.0
banana012S(7),125.321,30.446
banana012S(8),135.915,33.5
banana012T(1),70.988,151.238
banana012T(2),65.625,149.286
banana012T(3),68.678,144.954
banana012T(4),63.855,144.802
banana012T(5),68.976,144.266
banana012T(6),67.733,149.306
banana012T(7),65.541,151.075
banana012T(8),72.0,143.367
banana013S(1),150.926,34.949
banana013S(10),137.963,34.223
banana013S(11),145.779,36.75
banana013S(12),148.494,34.375
banana013S(2),147.222,36.386
banana013S(3),150.0,36.881
banana013S(4),173.958,34.949
banana013S(5),142.073,38.158
banana013S(6),171.0,38.978
banana013S(7),155.625,33.911
banana013S(8),133.235,37.105
banana013S(9),143.675,34.949
banana013T(1),82.955,178.824
banana013T(10),67.568,176.149
banana013T(11),72.101,155.914
banana013T(12),63.929,185.588
banana013T(2),87.813,172.917
banana013T(3),63.855,175.901
banana013T(4),75.338,191.304
banana013T(5),77.885,183.854
banana013T(6),67.905,174.185
banana013T(7),73.701,171.774
banana013T(8),80.435,180.172
banana013T(9),75.0,182.88
banana014S(1),144.415,35.039
banana014S(10),151.63,45.474
banana014S(2),117.13,37.411
banana014S(3),150.581,34.958
banana014S(4),141.176,37.19
banana014S(5),158.235,43.319
banana014S(6),162.647,37.81
banana014S(7),151.124,44.469
banana014S(8),150.0,39.831
banana014S(9),157.732,35.887
banana014T(1),97.727,168.571
banana014T(10),82.394,149.185
banana014T(2),78.571,162.611
banana014T(3),80.914,155.966
banana014T(4),76.923,166.25
banana014T(5),86.747,165.777
banana014T(6),101.667,169.059
banana014T(7),97.866,155.093
banana014T(8),91.667,147.0
banana014T(9),87.333,156.633
banana015S(1),102.941,39.904
banana015S(2),132.477,36.553
banana015S(3),72.561,34.295
banana015S(4),151.075,28.831
banana015S(5),91.085,41.168
banana015S(6),132.563,35.927
banana015S(7),79.58,39.151
banana015S(8),157.258,33.403
banana015T(1),160.274,85.215
banana015T(2),79.114,163.684
banana015T(3),182.468,90.046
banana015T(4),86.62,159.474
banana015T(5),165.333,82.895
banana015T(6),103.623,161.579
banana015T(7),153.333,84.211
banana015T(8),79.452,170.977
