labels,x,y
bun001S(1),78.261,61.198
bun001S(2),70.43,65.487
bun001S(3),82.267,62.621
bun001S(4),72.253,64.474
bun001S(5),92.333,57.25
bun001S(6),86.567,58.333
bun001S(7),88.542,58.168
bun001T(1),100.301,82.883
bun001T(2),90.385,78.571
bun001T(3),76.075,102.193
bun001T(4),88.636,80.963
bun001T(5),80.592,84.048
bun001T(6),93.902,69.907
bun001T(7),82.237,97.25
bun002S(1),76.989,53.704
bun002S(2),80.814,57.619
bun002S(3),93.976,49.537
bun002S(4),80.233,55.583
bun002S(5),90.407,54.082
bun002T(1),104.276,84.694
bun002T(2),80.747,103.44
bun002T(3),89.655,78.095
bun002T(4),88.793,85.194
bun002T(5),82.099,99.057
bun003S(1),96.649,62.398
bun003S(2),107.317,80.5
bun003S(3),104.348,65.126
bun003S(4),150.472,61.694
bun003T(1),77.874,109.685
bun003T(2),101.453,90.367
bun003T(3),76.685,107.456
bun003T(4),110.312,91.832
bun004S(1),76.099,63.866
bun004S(2),65.741,49.237
bun004S(3),100.234,51.408
bun004S(4),110.855,54.25
bun004S(5),85.632,66.593
bun004S(6),102.66,66.204
bun004S(7),81.593,64.912
bun004S(8),96.212,54.878
bun004T(1),108.841,76.651
bun004T(2),103.947,71.094
bun004T(3),77.469,109.466
bun004T(4),107.394,76.989
bun004T(5),101.689,71.053
bun004T(6),68.895,105.531
bun004T(7),111.218,74.764
bun004T(8),75.272,111.975
bun005S(1),86.494,69.595
bun005S(2),91.477,66.164
bun005S(3),76.099,71.396
bun005S(4),83.523,63.377
bun005S(5),82.609,67.105
bun005T(1),79.688,87.143
bun005T(2),80.97,89.444
bun005T(3),81.169,75.25
bun005T(4),77.113,96.839
bun005T(5),98.077,80.825
bun006S(1),73.077,54.331
bun006S(2),92.172,50.992
bun006S(3),84.615,56.144
bun006S(4),90.049,54.752
bun006S(5),92.784,57.364
bun006S(6),100.0,57.258
bun006S(7),87.879,62.397
bun006S(8),96.25,60.366
bun006T(1),113.806,87.097
bun006T(2),85.671,110.25
bun006T(3),103.75,86.408
bun006T(4),93.214,106.25
bun006T(5),107.971,97.222
bun006T(6),87.687,108.871
bun006T(7),102.174,83.871
bun006T(8),94.097,110.526
bun007S(1),96.341,51.179
bun007S(2),98.034,49.558
bun007S(3),92.529,52.252
bun007S(4),110.756,49.762
bun007T(1),102.632,91.927
bun007T(2),92.763,120.69
bun007T(3),104.487,100.538
bun007T(4),93.919,106.378
bun008S(1),62.216,49.048
bun008S(2),96.646,49.292
bun008S(3),69.767,46.56
bun008S(4),90.909,47.573
bun008T(1),92.628,69.355
bun008T(2),74.383,98.349
bun008T(3),96.687,76.75
bun008T(4),68.561,92.353
