labels,x,y
fired_dough_twist001S(1),98.138,42.982
fired_dough_twist001S(2),99.438,40.57
fired_dough_twist001S(3),99.719,39.44
fired_dough_twist001S(4),97.554,39.381
fired_dough_twist001S(5),90.365,40.132
fired_dough_twist001S(6),105.056,41.595
fired_dough_twist001S(7),94.837,39.076
fired_dough_twist001S(8),100.0,42.647
fired_dough_twist001S(9),93.28,39.693
fired_dough_twist001T(1),43.919,113.281
fired_dough_twist001T(2),42.697,108.836
fired_dough_twist001T(3),48.052,103.96
fired_dough_twist001T(4),51.136,106.183
fired_dough_twist001T(5),40.663,103.81
fired_dough_twist001T(6),37.013,102.551
fired_dough_twist001T(7),42.284,100.45
fired_dough_twist001T(8),48.611,103.061
fired_dough_twist001T(9),43.75,102.723
fired_dough_twist002S(1),91.223,44.538
fired_dough_twist002S(10),89.607,41.942
fired_dough_twist002S(2),83.333,43.008
fired_dough_twist002S(3),89.286,42.161
fired_dough_twist002S(4),81.117,41.81
fired_dough_twist002S(5),86.685,39.516
fired_dough_twist002S(6),81.701,41.87
fired_dough_twist002S(7),87.903,46.903
fired_dough_twist002S(8),90.104,45.975
fired_dough_twist002S(9),91.223,40.496
fired_dough_twist002T(1),55.556,95.991
fired_dough_twist002T(10),45.052,93.293
fired_dough_twist002T(2),43.605,90.509
fired_dough_twist002T(3),50.0,93.069
fired_dough_twist002T(4),45.062,95.991
fired_dough_twist002T(5),53.618,97.194
fired_dough_twist002T(6),43.092,91.582
fired_dough_twist002T(7),49.026,97.135
fired_dough_twist002T(8),47.297,92.327
fired_dough_twist002T(9),45.896,92.529
fired_dough_twist003S(1),95.5,38.492
fired_dough_twist003S(10),88.66,35.484
fired_dough_twist003S(2),86.165,31.977
fired_dough_twist003S(3),87.755,31.151
fired_dough_twist003S(4),89.216,31.107
fired_dough_twist003S(5),91.071,33.858
fired_dough_twist003S(6),95.619,36.492
fired_dough_twist003S(7),88.25,33.943
fired_dough_twist003S(8),97.527,38.306
fired_dough_twist003S(9),94.643,34.055
fired_dough_twist003T(1),39.803,98.75
fired_dough_twist003T(10),41.761,109.259
fired_dough_twist003T(2),47.753,100.394
fired_dough_twist003T(3),49.359,104.398
fired_dough_twist003T(4),40.698,102.703
fired_dough_twist003T(5),41.875,101.19
fired_dough_twist003T(6),40.517,103.448
fired_dough_twist003T(7),43.929,105.99
fired_dough_twist003T(8),46.037,105.189
fired_dough_twist003T(9),41.576,111.975
fired_dough_twist004S(1),97.384,38.136
fired_dough_twist004S(10),86.798,39.035
fired_dough_twist004S(2),83.967,30.315
fired_dough_twist004S(3),96.176,39.009
fired_dough_twist004S(4),87.36,37.613
fired_dough_twist004S(5),89.368,39.823
fired_dough_twist004S(6),86.813,32.895
fired_dough_twist004S(7),84.615,33.836
fired_dough_twist004S(8),83.967,35.746
fired_dough_twist004S(9),92.308,37.281
fired_dough_twist004T(1),39.433,101.549
fired_dough_twist004T(10),42.045,101.261
fired_dough_twist004T(2),45.882,87.605
fired_dough_twist004T(3),49.675,94.811
fired_dough_twist004T(4),47.191,93.75
fired_dough_twist004T(5),45.181,96.528
fired_dough_twist004T(6),45.69,93.182
fired_dough_twist004T(7),43.598,91.743
fired_dough_twist004T(8),48.969,94.961
fired_dough_twist004T(9),39.655,95.238
fired_dough_twist005S(1),92.204,32.258
fired_dough_twist005S(2),92.663,39.871
fired_dough_twist005S(3),90.11,38.843
fired_dough_twist005S(4),99.713,40.09
fired_dough_twist005S(5),91.129,41.525
fired_dough_twist005S(6),96.649,42.647
fired_dough_twist005S(7),91.667,33.613
fired_dough_twist005S(8),103.161,34.534
fired_dough_twist005S(9),95.17,33.263
fired_dough_twist005T(1),37.374,102.851
fired_dough_twist005T(2),40.244,98.23
fired_dough_twist005T(3),37.079,100.885
fired_dough_twist005T(4),37.791,100.901
fired_dough_twist005T(5),40.361,97.477
fired_dough_twist005T(6),38.889,98.786
fired_dough_twist005T(7),44.512,94.068
fired_dough_twist005T(8),42.284,109.5
fired_dough_twist005T(9),40.741,106.771
fired_dough_twist006S(1),94.937,29.612
fired_dough_twist006S(2),99.333,33.019
fired_dough_twist006S(3),57.09,33.416
fired_dough_twist006S(4),112.687,30.198
fired_dough_twist006S(5),45.886,28.218
fired_dough_twist006S(6),93.836,26.887
fired_dough_twist006S(7),53.0,31.122
fired_dough_twist006T(1),41.667,95.161
fired_dough_twist006T(2),45.29,102.778
fired_dough_twist006T(3),107.971,41.842
fired_dough_twist006T(4),41.418,106.402
fired_dough_twist006T(5),101.587,45.455
fired_dough_twist006T(6),43.31,105.833
fired_dough_twist006T(7),103.968,43.671
fired_dough_twist007S(1),117.826,44.406
fired_dough_twist007S(2),90.888,33.889
fired_dough_twist007S(3),61.712,41.111
fired_dough_twist007S(4),110.684,41.608
fired_dough_twist007S(5),48.261,41.267
fired_dough_twist007S(6),96.239,33.571
fired_dough_twist007S(7),64.05,39.86
fired_dough_twist007T(1),41.418,92.5
fired_dough_twist007T(2),46.831,94.388
fired_dough_twist007T(3),104.333,43.16
fired_dough_twist007T(4),45.0,90.526
fired_dough_twist007T(5),99.333,36.085
fired_dough_twist007T(6),37.0,91.584
fired_dough_twist007T(7),102.108,41.667
