labels,x,y
grape001S(1),161.111,108.252
grape001S(10),185.366,111.697
grape001S(11),157.716,114.356
grape001S(12),167.378,98.81
grape001S(2),154.023,99.764
grape001S(3),166.987,91.435
grape001S(4),174.383,109.466
grape001S(5),169.156,98.058
grape001S(6),140.244,105.714
grape001S(7),175.0,107.381
grape001S(8),158.133,94.907
grape001S(9),188.125,102.427
grape001T(1),181.452,173.476
grape001T(10),184.483,182.317
grape001T(11),207.203,165.361
grape001T(12),181.034,193.438
grape001T(2),186.972,169.271
grape001T(3),181.855,188.793
grape001T(4),186.071,157.75
grape001T(5),183.099,178.713
grape001T(6),173.214,147.159
grape001T(7),146.071,190.517
grape001T(8),183.846,154.706
grape001T(9),161.441,167.353
grape002S(1),115.0,74.25
grape002S(10),117.188,66.19
grape002S(11),107.716,68.16
grape002S(12),109.036,72.406
grape002S(13),129.63,68.018
grape002S(14),120.513,65.0
grape002S(15),114.935,73.158
grape002S(16),98.78,71.359
grape002S(17),118.072,67.381
grape002S(2),109.615,77.344
grape002S(3),119.551,79.592
grape002S(4),101.603,76.214
grape002S(5),134.295,71.19
grape002S(6),114.506,66.905
grape002S(7),104.878,69.0
grape002S(8),103.438,71.359
grape002S(9),117.941,77.865
grape002T(1),129.924,121.667
grape002T(10),117.143,116.848
grape002T(11),111.667,113.35
grape002T(12),115.132,129.032
grape002T(13),114.803,126.667
grape002T(14),133.013,121.789
grape002T(15),124.333,131.25
grape002T(16),124.375,123.058
grape002T(17),123.684,118.204
grape002T(2),133.333,112.143
grape002T(3),124.638,140.885
grape002T(4),138.028,118.207
grape002T(5),113.929,133.421
grape002T(6),119.805,118.204
grape002T(7),112.333,115.347
grape002T(8),129.577,126.882
grape002T(9),132.09,129.076
